Date;Filière;Valeur (GW)
2014-01;"Pointe de consommation d’électricité";82,368
2014-02;"Pointe de consommation d’électricité";80,239
2014-03;"Pointe de consommation d’électricité";76,076
2014-04;"Pointe de consommation d’électricité";60,661
2014-05;"Pointe de consommation d’électricité";57,973
2014-06;"Pointe de consommation d’électricité";55,922
2014-07;"Pointe de consommation d’électricité";57,127
2014-08;"Pointe de consommation d’électricité";54,346
2014-09;"Pointe de consommation d’électricité";55,377
2014-10;"Pointe de consommation d’électricité";62,717
2014-11;"Pointe de consommation d’électricité";72,555
2014-12;"Pointe de consommation d’électricité";82,639
2015-01;"Pointe de consommation d’électricité";86,682
2015-02;"Pointe de consommation d’électricité";91,965
2015-03;"Pointe de consommation d’électricité";75,715
2015-04;"Pointe de consommation d’électricité";68,518
2015-05;"Pointe de consommation d’électricité";57,13
2015-06;"Pointe de consommation d’électricité";57,814
2015-07;"Pointe de consommation d’électricité";59,056
2015-08;"Pointe de consommation d’électricité";55,65
2015-09;"Pointe de consommation d’électricité";56,865
2015-10;"Pointe de consommation d’électricité";68,35
2015-11;"Pointe de consommation d’électricité";80,288
2015-12;"Pointe de consommation d’électricité";78,451
2016-01;"Pointe de consommation d’électricité";88,912
2016-02;"Pointe de consommation d’électricité";82,656
2016-03;"Pointe de consommation d’électricité";79,309
2016-04;"Pointe de consommation d’électricité";69,661
2016-05;"Pointe de consommation d’électricité";61,203
2016-06;"Pointe de consommation d’électricité";56,428
2016-07;"Pointe de consommation d’électricité";57,297
2016-08;"Pointe de consommation d’électricité";55,914
2016-09;"Pointe de consommation d’électricité";56,109
2016-10;"Pointe de consommation d’électricité";65,112
2016-11;"Pointe de consommation d’électricité";82,007
2016-12;"Pointe de consommation d’électricité";81,96
2017-01;"Pointe de consommation d’électricité";94,439
2017-02;"Pointe de consommation d’électricité";81,854
2017-03;"Pointe de consommation d’électricité";74,735
2017-04;"Pointe de consommation d’électricité";65,552
2017-05;"Pointe de consommation d’électricité";61,026
2017-06;"Pointe de consommation d’électricité";59,555
2017-07;"Pointe de consommation d’électricité";57,608
2017-08;"Pointe de consommation d’électricité";56,453
2017-09;"Pointe de consommation d’électricité";57,436
2017-10;"Pointe de consommation d’électricité";64,605
2017-11;"Pointe de consommation d’électricité";84,03
2017-12;"Pointe de consommation d’électricité";83,478
2018-01;"Pointe de consommation d’électricité";79,755
2018-02;"Pointe de consommation d’électricité";96,477
2018-03;"Pointe de consommation d’électricité";91,16
2018-04;"Pointe de consommation d’électricité";66,065
2018-05;"Pointe de consommation d’électricité";59,095
2018-06;"Pointe de consommation d’électricité";56,011
2018-07;"Pointe de consommation d’électricité";57,797
2018-08;"Pointe de consommation d’électricité";55,619
2018-09;"Pointe de consommation d’électricité";55,314
2018-10;"Pointe de consommation d’électricité";74,086
2018-11;"Pointe de consommation d’électricité";80,484
2018-12;"Pointe de consommation d’électricité";84,82
2019-01;"Pointe de consommation d’électricité";88,629
2019-02;"Pointe de consommation d’électricité";86,492
2019-03;"Pointe de consommation d’électricité";72,422
2019-04;"Pointe de consommation d’électricité";69,73
2019-05;"Pointe de consommation d’électricité";62,248
2019-06;"Pointe de consommation d’électricité";58,874
2019-07;"Pointe de consommation d’électricité";59,27
2019-08;"Pointe de consommation d’électricité";55,135
2019-09;"Pointe de consommation d’électricité";54,059
2019-10;"Pointe de consommation d’électricité";62,74
2019-11;"Pointe de consommation d’électricité";79,632
2019-12;"Pointe de consommation d’électricité";80,516
2020-01;"Pointe de consommation d’électricité";83,511
2020-02;"Pointe de consommation d’électricité";78,381
