Date;Filière;Valeur (TWh);Nature
1995-01;"Consommation corrigée";41,841;Données Consolidées
1995-02;"Consommation corrigée";35,809;Données Consolidées
1995-03;"Consommation corrigée";36,725;Données Consolidées
1995-04;"Consommation corrigée";31,498;Données Consolidées
1995-05;"Consommation corrigée";28,837;Données Consolidées
1995-06;"Consommation corrigée";27,24;Données Consolidées
1995-07;"Consommation corrigée";27,929;Données Consolidées
1995-08;"Consommation corrigée";25,889;Données Consolidées
1995-09;"Consommation corrigée";27,465;Données Consolidées
1995-10;"Consommation corrigée";31,429;Données Consolidées
1995-11;"Consommation corrigée";35,467;Données Consolidées
1995-12;"Consommation corrigée";39,112;Données Consolidées
1996-01;"Consommation corrigée";42,204;Données Consolidées
1996-02;"Consommation corrigée";36,001;Données Consolidées
1996-03;"Consommation corrigée";36,868;Données Consolidées
1996-04;"Consommation corrigée";32,152;Données Consolidées
1996-05;"Consommation corrigée";28,827;Données Consolidées
1996-06;"Consommation corrigée";27,414;Données Consolidées
1996-07;"Consommation corrigée";28,486;Données Consolidées
1996-08;"Consommation corrigée";25,524;Données Consolidées
1996-09;"Consommation corrigée";27,806;Données Consolidées
1996-10;"Consommation corrigée";32,307;Données Consolidées
1996-11;"Consommation corrigée";36,087;Données Consolidées
1996-12;"Consommation corrigée";40,91;Données Consolidées
1997-01;"Consommation corrigée";41,682;Données Consolidées
1997-02;"Consommation corrigée";37,165;Données Consolidées
1997-03;"Consommation corrigée";36,755;Données Consolidées
1997-04;"Consommation corrigée";33,105;Données Consolidées
1997-05;"Consommation corrigée";29,417;Données Consolidées
1997-06;"Consommation corrigée";28,152;Données Consolidées
1997-07;"Consommation corrigée";29,148;Données Consolidées
1997-08;"Consommation corrigée";26,941;Données Consolidées
1997-09;"Consommation corrigée";28,44;Données Consolidées
1997-10;"Consommation corrigée";32,903;Données Consolidées
1997-11;"Consommation corrigée";36,469;Données Consolidées
1997-12;"Consommation corrigée";41,676;Données Consolidées
1998-01;"Consommation corrigée";43,407;Données Consolidées
1998-02;"Consommation corrigée";37,448;Données Consolidées
1998-03;"Consommation corrigée";38,836;Données Consolidées
1998-04;"Consommation corrigée";34,249;Données Consolidées
1998-05;"Consommation corrigée";30,313;Données Consolidées
1998-06;"Consommation corrigée";29,048;Données Consolidées
1998-07;"Consommation corrigée";29,978;Données Consolidées
1998-08;"Consommation corrigée";27,306;Données Consolidées
1998-09;"Consommation corrigée";29,569;Données Consolidées
1998-10;"Consommation corrigée";33,984;Données Consolidées
1998-11;"Consommation corrigée";37,127;Données Consolidées
1998-12;"Consommation corrigée";42,997;Données Consolidées
1999-01;"Consommation corrigée";44,128;Données Consolidées
1999-02;"Consommation corrigée";38,181;Données Consolidées
1999-03;"Consommation corrigée";39,371;Données Consolidées
1999-04;"Consommation corrigée";34,716;Données Consolidées
1999-05;"Consommation corrigée";30,739;Données Consolidées
1999-06;"Consommation corrigée";29,93;Données Consolidées
1999-07;"Consommation corrigée";30,727;Données Consolidées
1999-08;"Consommation corrigée";27,8;Données Consolidées
1999-09;"Consommation corrigée";30,405;Données Consolidées
1999-10;"Consommation corrigée";34,512;Données Consolidées
1999-11;"Consommation corrigée";38,407;Données Consolidées
1999-12;"Consommation corrigée";43,883;Données Consolidées
2000-01;"Consommation corrigée";44,793;Données Consolidées
2000-02;"Consommation corrigée";39,615;Données Consolidées
2000-03;"Consommation corrigée";40,372;Données Consolidées
2000-04;"Consommation corrigée";35,433;Données Consolidées
2000-05;"Consommation corrigée";32,42;Données Consolidées
2000-06;"Consommation corrigée";30,201;Données Consolidées
2000-07;"Consommation corrigée";30,676;Données Consolidées
2000-08;"Consommation corrigée";29,042;Données Consolidées
2000-09;"Consommation corrigée";30,864;Données Consolidées
2000-10;"Consommation corrigée";35,434;Données Consolidées
2000-11;"Consommation corrigée";40,292;Données Consolidées
2000-12;"Consommation corrigée";44,717;Données Consolidées
2001-01;"Consommation corrigée";44,997;Données Consolidées
2001-02;"Consommation corrigée";38,842;Données Consolidées
2001-03;"Consommation corrigée";39,55;Données Consolidées
2001-04;"Consommation corrigée";33,587;Données Consolidées
2001-05;"Consommation corrigée";31,532;Données Consolidées
2001-06;"Consommation corrigée";30,476;Données Consolidées
2001-07;"Consommation corrigée";31,26;Données Consolidées
2001-08;"Consommation corrigée";29,111;Données Consolidées
2001-09;"Consommation corrigée";31,024;Données Consolidées
