maille;date_jour;jour_semaine;semaine;annee;donnees;conso_corrigee;borne_inf;borne_sup;borne_moyenne;conso_brute;borne_inf_brute;borne_sup_brute;borne_moyenne_brute
semaine;2025-12-14;50_7;50;2025;ETR;65624,9354583333;69830,1571250000;71444,2635416667;70452,6395000000;55716,5646551724;65358,9069382625;72883,3285725292;69784,6562475768
semaine;2025-12-14;50_7;50;2024;ETR;65457,6426250000;NA;NA;NA;68196,0917229887;NA;NA;NA
semaine;2025-12-14;50_7;50;2023;ETR;65617,1084583333;NA;NA;NA;59293,2002517791;NA;NA;NA
semaine;2025-12-14;50_7;50;2022;ETR;63977,5325416667;NA;NA;NA;73444,7851106208;NA;NA;NA
semaine;2025-12-14;50_7;50;2021;ETR;69016,3150416667;NA;NA;NA;69856,0038010121;NA;NA;NA
semaine;2025-12-14;50_7;50;2020;ETR;68074,3165416667;NA;NA;NA;71094,5396942250;NA;NA;NA
semaine;2025-12-07;49_7;49;2025;ETR;63682,3876250000;67681,9150833333;68957,3375000000;68530,6475069444;63388,0375000000;60545,5250458654;74230,4234177583;68427,8226527410
semaine;2025-12-07;49_7;49;2024;ETR;62274,1426666667;NA;NA;NA;61820,8561993095;NA;NA;NA
semaine;2025-12-07;49_7;49;2023;ETR;62721,6866666667;NA;NA;NA;66920,1435425208;NA;NA;NA
semaine;2025-12-07;49_7;49;2022;ETR;61919,0120416667;NA;NA;NA;68205,4552712875;NA;NA;NA
semaine;2025-12-07;49_7;49;2021;ETR;67944,9772500000;NA;NA;NA;72156,2495915987;NA;NA;NA
semaine;2025-12-07;49_7;49;2020;ETR;66002,0550416667;NA;NA;NA;67783,8996536167;NA;NA;NA
semaine;2025-11-30;48_7;48;2025;CPRC;62992,2499643928;65925,6682293273;67803,7656544667;67159,7523947178;65556,0402477262;59123,1254545083;72409,7376162875;66602,2589988845
semaine;2025-11-30;48_7;48;2024;CPRC;62100,4711773026;NA;NA;NA;57644,1607856359;NA;NA;NA
semaine;2025-11-30;48_7;48;2023;CPRC;61810,2613814583;NA;NA;NA;64422,0120439583;NA;NA;NA
semaine;2025-11-30;48_7;48;2022;CPRC;61078,6694675208;NA;NA;NA;61536,8943966875;NA;NA;NA
semaine;2025-11-30;48_7;48;2021;CPRC;67771,2538635702;NA;NA;NA;72994,3533552369;NA;NA;NA
semaine;2025-11-30;48_7;48;2020;CPRC;63580,8761040208;NA;NA;NA;62252,1456290208;NA;NA;NA
semaine;2025-11-23;47_7;47;2025;CPRC;60479,9374973747;63622,8255225575;65854,8067224708;64603,8785457847;62876,5329807081;56353,8717141375;70335,0310422671;63775,7040423124
