Département;Longitude;Latitude;Filière;Valeur (MW)
"Ain";5.346959857;46.05429898;"Solaire";293,43483999996
"Aisne";3.671806573;49.59862553;"Solaire";168,30025
"Allier";3.040610457;46.37475826;"Solaire";611,76875999998
"Alpes-de-Haute-Provence";6.230725886;44.19259899;"Solaire";503,58756999997
"Hautes-Alpes";6.167295644;44.64765673;"Solaire";249,87240999999
"Alpes-Maritimes";7.123987377;43.94793989;"Solaire";167,93168999999
"Ardèche";4.288022257;44.80050826;"Solaire";219,40498999998
"Ardennes";4.700131870;49.57273476;"Solaire";109,0361
"Ariège";1.472306905;42.95155061;"Solaire";115,538568
"Aube";4.187970591;48.27218193;"Solaire";226,929181
"Aude";2.339275730;43.14137015;"Solaire";498,48973499993
"Aveyron";2.793046114;44.24941483;"Solaire";486,33121999996
"Bouches-du-Rhône";5.072933506;43.54383533;"Solaire";864,90487999998
"Calvados";-0.406566196;49.11209426;"Solaire";115,65609
"Cantal";2.628795568;44.91441335;"Solaire";315,23685999999
"Charente";0.097305000;45.66679020;"Solaire";510,44863999995
"Charente-Maritime";-0.694769798;45.79420660;"Solaire";499,98268999991
"Cher";2.580594115;47.09013344;"Solaire";349,00701999999
"Corrèze";1.842891932;45.30433881;"Solaire";286,29214999999
"Côte-d'Or";4.837284317;47.52031513;"Solaire";272,43811999998
"Côtes-d'Armor";-2.946720821;48.45147397;"Solaire";194,42539999999
"Creuse";2.093611542;46.07471237;"Solaire";255,10526
"Dordogne";0.687318695;45.16482274;"Solaire";403,94611499996
"Doubs";6.397455452;47.21328112;"Solaire";139,40871499999
"Drôme";5.224912381;44.63114048;"Solaire";469,2749999999
"Eure";1.058622250;49.11357767;"Solaire";134,88479
"Eure-et-Loir";1.332237400;48.31273152;"Solaire";297,929958
"Finistère";-4.107614705;48.27446138;"Solaire";212,29290999998
"Corse-du-Sud";9.016697474;41.87063872;"Solaire";55,76992
"Haute-Corse";9.228973435;42.40403476;"Solaire";189,51903
"Gard";4.178506857;43.99430935;"Solaire";621,82408999992
"Haute-Garonne";1.293955407;43.39916198;"Solaire";672,29722999993
"Gers";0.477120590;43.68376636;"Solaire";370,25146999997
"Gironde";-0.573379306;44.85762161;"Solaire";1199,087737
"Hérault";3.461166305;43.64966398;"Solaire";576,95309299985
"Ille-et-Vilaine";-1.646455875;48.18125577;"Solaire";330,20343999996
"Indre";1.623572948;46.80417900;"Solaire";341,29026999999
"Indre-et-Loire";0.686829377;47.23136876;"Solaire";249,70996999999
"Isère";5.602130240;45.26970890;"Solaire";453,88604499983
"Jura";5.537548031;46.76537169;"Solaire";112,39896
"Landes";-0.904619169;44.02744424;"Solaire";1250,03362
"Loir-et-Cher";1.360806420;47.56075438;"Solaire";267,27838999999
"Loire";4.151376079;45.72748395;"Solaire";256,27229999997
"Haute-Loire";3.792203253;45.09422574;"Solaire";199,21398999999
"Loire-Atlantique";-1.767701405;47.46325974;"Solaire";486,99059999988
"Loiret";2.232057344;47.88516723;"Solaire";266,12164999998
"Lot";1.577740047;44.65311268;"Solaire";207,72192999999
"Lot-et-Garonne";0.453447272;44.45127515;"Solaire";546,37796999993
"Lozère";3.552826246;44.54028178;"Solaire";90,58286
"Maine-et-Loire";-0.569254627;47.35896655;"Solaire";460,29283999993
"Manche";-1.366478921;49.02053894;"Solaire";111,08202
"Marne";4.324834753;48.92773389;"Solaire";322,93609999999
"Haute-Marne";5.135591261;48.15680534;"Solaire";166,90029
